Symbol,Date,Open,High,Low,Close,Volume
BATA,2011,700,700,655,675,790
BATA,2011,687,687,670,670,554
BATA,2011,680,680,655,656.66,259
BATA,2011,655,659,645,646.23,458
BATA,2011,650,660,640,642.71,1660
BATA,2011,655,655,636,636.71,341
BATA,2011,636,642.9,630,638.28,1285
BATA,2011,651.49,651.49,633,640,725
BATA,2011,633.01,645,625,637.01,1211
BATA,2011,620,645,620,637.1,832
BATA,2011,645,645,640,643.99,240
BATA,2011,670,670,640,663.46,1392
BATA,2011,659,659,645,657.97,576
BATA,2011,635,650,635,647,410
BATA,2011,675.5,675.5,630,640,318
BATA,2011,636,636,615,634,585
BATA,2011,665,665,615,639.95,352
BATA,2011,645,645,635,635.26,225
BATA,2011,639.9,640,638,639.96,429
BATA,2011,639.5,640,630,630.82,216
BATA,2011,638,638.9,620,625.58,414
BATA,2011,620,633.99,610,630,427
BATA,2011,630,630,620,629,48
BATA,2011,625,629,625,629,6
BATA,2011,659,659,630,642.11,488
BATA,2011,670.15,670.15,621,650.1,590
BATA,2011,649,649,630.15,642.17,63
BATA,2011,650,650,625,640,143
BATA,2011,672,672,628,631.77,68
BATA,2012,631.77,632.5,625,625.25,648
BATA,2012,638,638,625.25,625.25,3
BATA,2012,622.01,630,622,625.25,6
BATA,2012,615.02,630,615.02,629.92,54
BATA,2012,630,661.41,630,653.4,836
BATA,2012,662,686.07,620.73,620.73,4262
BATA,2012,635,635,589.7,589.7,674
BATA,2012,609,609,560.22,560.97,202
BATA,2012,560.97,561,532.93,533.3,320
BATA,2012,507,550,506.64,507.31,923
BATA,2012,532.67,532.67,493.5,528.42,277
BATA,2012,554.84,554.84,502,551.65,9200
BATA,2012,575,579.23,560,574.99,471
BATA,2012,603,603,547,566.33,1708
BATA,2012,590,593.99,539,551.04,2298
BATA,2012,574.99,574.99,530,535.98,813
BATA,2012,554.9,554.9,525,542.78,467
BATA,2012,556.31,556.31,521,552.18,558
BATA,2012,570,570,528,531.33,896
BATA,2012,545,555.37,522,542.26,825
BATA,2012,553,553,540,549.72,126
BATA,2012,555,555,524,529.69,265
BATA,2012,512,539.5,512,522.17,402
BATA,2012,535,544.98,517,523.97,129
BATA,2012,545,545,512,514.61,1006
BATA,2012,534.99,534.99,505,528.25,356
BATA,2012,550,550,521.01,522,174
BATA,2012,523,529,513.1,514.48,544
BATA,2012,535,535,508.01,508.03,159
BATA,2012,522,528,510,518.29,273
BATA,2013,537.7,537.7,505,510.18,298
BATA,2013,508.1,518,501.55,510,1272
BATA,2013,510,515,507.1,510,21
BATA,2013,510.05,514.99,510,510.16,129
BATA,2013,511.01,530,511.01,523.13,953
BATA,2013,534.98,534.98,522,523.42,182
BATA,2013,519,527.99,518.1,525.19,505
BATA,2013,551,551,520,520,489
BATA,2013,545,545,500.01,512.96,173
BATA,2013,513.01,513.01,510,512.96,40
BATA,2013,523.89,523.89,510.5,513.8,203
BATA,2013,527,530,512,512.73,887
BATA,2013,485,495,475,482.67,674
BATA,2013,482.67,487,476.01,479.99,680
BATA,2013,485,485,475,477.39,152
BATA,2013,479,479,477.39,477.39,5
BATA,2013,477.39,484,469.1,483.52,92
BATA,2013,483.52,490,459.35,467.92,487
BATA,2013,467.92,487.99,467.92,470,225
BATA,2013,458.01,493.5,458.01,486.75,2894
BATA,2013,502.99,502.99,470,480.56,484
